gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Papss2,222.47418295740573,-2.6950404237394316,0.3909908822227897,3.410309788152752e-13,2.4219757783938683e-11
Paqr3,27.521862826346673,0.5803951905306068,0.49709002257792806,0.14446565265014655,0.2604603348467457
Paqr4,353.1681164315322,0.1538935519061472,0.22566476467985014,0.4766012918875527,0.6161265294081555
Paqr5,26.243325242780855,-0.27519868602633835,0.42019168150599745,0.43208914990850333,0.5761874944926146
Paqr6,112.12289342570378,1.0316931956879936,0.7685930820765056,0.04570705021995054,0.107462127303694
Paqr7,373.25169652510596,-0.2760078048899587,0.25986837041366045,0.25622012378906395,0.3978161032640177
Paqr8,74.73699716136326,-1.1466330988550464,0.662638796690363,0.015710781362796095,0.04538124018209306
Pard3,845.8503386138002,0.0688095010196706,0.2280515739805009,0.754177932228101,0.8377651764787906
Pard3b,79.49375326072955,-0.6363344833170242,0.5835016255171385,0.12596959659599283,0.23568373904793305
Pard6a,120.66924563023814,0.20957326868099346,0.23272279946927563,0.34537786287522615,0.49351149065514033
Pard6b,282.38643793141887,-0.2976832920127746,0.4490769725611921,0.41135912671991476,0.5574517493742259
Pard6g,608.1802491137491,-2.929002473989377,0.3573787750190667,1.4104077524968877e-17,3.01949903186725e-15
Parg,844.2493575818215,0.03322396222776975,0.18441325064260297,0.8536996796033207,0.9062127553720389
Park2,21.266633048445506,1.7351744007069003,0.7648881198283735,0.003178534115934033,0.012014663756544917
Park7,2027.8412343050768,0.17009949116009043,0.2379026864600328,0.45324321370700804,0.5954561324155037
Parl,573.1553954739364,0.048498337976206875,0.19658718353921278,0.8000274291455912,0.8710846305991504
Parm1,387.68717296166335,1.1440483665799244,0.3814062220229896,8.81489033679274e-4,0.004098632674066805
Parn,680.3607002854976,0.15652221152607917,0.13665980399093483,0.24473539335984046,0.3846399862444476
Parp1,1809.2780111257177,0.7109480905169192,0.162150522698211,7.306871600307288e-6,6.413375358273277e-5
Parp10,1127.4783678562674,1.007604523391281,0.18997346688279387,4.867369119864949e-8,8.006767999849112e-7
Parp11,322.79447146203825,0.3534466284732301,0.22799355052323195,0.10481726606745811,0.2055167681145059
Parp12,924.9905655342985,0.7761427274566419,0.3353887449546863,0.010685905838820956,0.033023473023234974
Parp14,1290.486466427141,0.5651489641363963,0.42736108321890987,0.11974836522940875,0.22690134058091663
Parp16,255.52964648597302,-0.10946523282437995,0.2582803786682447,0.650900114431556,0.7579894750006264
Parp2,410.0554899454833,0.05214428758939875,0.14037453456167356,0.7092249982263914,0.8022568093881808
Parp3,289.71467117435515,-1.0694446467727114,0.2836832710569783,5.076949635126408e-5,3.4963496508199206e-4
Parp4,556.7770322499412,0.15004875176163054,0.24233775049383857,0.5272247319425952,0.6582381868369576
Parp6,490.75077703223633,0.37082348425869704,0.13417853009359548,0.004993063352171838,0.017440891898387892
Parp8,467.51844966311154,-1.1094667086983838,0.24328895431812358,1.5042528857698556e-6,1.6067117591173036e-5
Parp9,1578.280807803486,0.7749601984750712,0.3195144470225107,0.008261326717603655,0.02655272373203681
Parpbp,179.0402989263993,0.07765180467176329,0.37063683011790666,0.8128971461260108,0.8801749268559788
Pars2,140.48892954679135,0.3511560607176491,0.16145888531463093,0.02607325301775829,0.06854495347540941
Particl,135.5122639605649,0.5071596385748565,0.1810369406906235,0.003901619975009996,0.014280161117653038
Parva,2901.953973905629,-0.19608085651691015,0.14845859194800012,0.1770289958883016,0.3016231057972308
Parvb,535.9802228300813,-2.5265815755348684,0.5576946322376172,3.3425803153907547e-7,4.282445482996724e-6
Parvg,240.5306614179479,-1.1368276602205112,0.2436080695844633,8.863704141109061e-7,9.995010501714736e-6
Pask,214.4253817714241,0.27069008597469746,0.2521553965494819,0.25665556606915635,0.3982893184130242
Patj,1113.285433101127,0.5031490474133157,0.4568275110946321,0.18321582266175238,0.30980587595689174
Patl1,626.6350193253278,0.09598898869323381,0.2610483546882482,0.6975841169756366,0.7933289540647164
Patz1,435.72657513163625,0.23258839774581982,0.17777557979962655,0.18086555936684623,0.3067446662419119
Pawr,384.3067607187369,-0.8459114869626243,0.3905518025779632,0.01210807363324751,0.036599235463542504
Pax6,61.162812414485536,-0.11215965617506278,0.30980097493292624,0.6906304383668374,0.7879521484462985
Pax9,64.07749916466052,-0.19628169123486078,0.7424696990795842,0.4671951569721901,0.6077857207215493
Paxbp1,855.3937399581743,-0.2657774624592399,0.20500812498467838,0.17670575034400146,0.30131563477797413
